                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0919,                 1.8349,                 1.3565,                0.26203,                0.16747,                0.09518,                 0.0627,                 1.2624,                 1.9794,                 1.5031,             0.00035406,             0.00035406,             0.00035406
                     76,                 1.0486,                 1.7525,                 1.3225,                0.36738,                 0.1379,                0.09034,                0.05916,                 1.2569,                 1.9916,                 1.5052,             0.00034656,             0.00034656,             0.00034656
                     77,                 1.0891,                 1.8046,                 1.3438,                0.25771,                0.16248,                 0.0904,                0.06033,                 1.2534,                 1.9764,                 1.5034,             0.00033906,             0.00033906,             0.00033906
                     78,                 1.0914,                  1.831,                 1.3667,                0.24723,                0.15015,                0.08804,                0.05966,                 1.2419,                 1.9674,                 1.4933,             0.00033156,             0.00033156,             0.00033156
                     79,                 1.0778,                 1.8062,                   1.36,                0.24825,                0.15712,                0.08738,                0.05829,                 1.2532,                  1.978,                 1.4969,             0.00032406,             0.00032406,             0.00032406
                     80,                 1.0346,                 1.7348,                 1.3173,                0.28268,                0.15271,                0.08942,                0.06138,                 1.2389,                 2.0195,                 1.4975,             0.00031656,             0.00031656,             0.00031656
                     81,                 1.0773,                    1.8,                 1.3441,                  0.279,                0.13816,                0.08499,                 0.0575,                 1.2445,                 2.0316,                 1.4783,             0.00030906,             0.00030906,             0.00030906
                     82,                 1.0738,                 1.7572,                 1.3409,                0.25794,                0.14914,                0.08779,                0.05893,                 1.2501,                 1.9713,                 1.4808,             0.00030156,             0.00030156,             0.00030156
                     83,                 1.0378,                 1.7332,                  1.317,                0.25722,                0.14409,                0.08613,                0.05866,                 1.2412,                 2.0303,                 1.4784,             0.00029406,             0.00029406,             0.00029406
                     84,                 1.0347,                 1.7291,                 1.3128,                0.27219,                 0.1523,                0.09467,                0.06193,                 1.2572,                 1.9612,                 1.5184,             0.00028656,             0.00028656,             0.00028656
                     85,                 1.0576,                 1.7743,                 1.3358,                0.25511,                0.15159,                0.09214,                0.05962,                  1.272,                 1.9908,                 1.5048,             0.00027906,             0.00027906,             0.00027906
