                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3394,                 2.0145,                 1.4844,                0.24146,                0.14501,                 0.0759,                0.04746,                 1.4909,                 2.1375,                 1.5517,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.3656,                 1.9927,                  1.483,                0.29976,                0.12517,                0.07828,                0.04869,                 1.4758,                  2.146,                 1.5577,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.3228,                 1.9531,                 1.4586,                0.39253,                 0.1757,                0.08651,                0.05406,                  1.479,                 2.1196,                 1.5554,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.3826,                 2.0233,                 1.5085,                0.39859,                0.14212,                0.08674,                 0.0561,                 1.4617,                 2.1155,                 1.5478,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.3557,                 1.9809,                  1.476,                0.39117,                0.10597,                0.08192,                0.05133,                  1.495,                 2.1188,                 1.5679,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.3387,                 1.9665,                 1.4738,                0.24961,                 0.1237,                 0.0768,                0.04788,                 1.4918,                 2.1377,                 1.5666,             0.00027906,             0.00027906,             0.00027906
                     72,                   1.32,                 1.9728,                 1.4576,                0.26091,                0.12061,                0.07732,                0.04896,                 1.4861,                 2.1353,                 1.5622,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.2961,                 1.9407,                 1.4489,                0.25224,                0.14343,                0.08264,                0.05082,                 1.4879,                 2.1126,                 1.5722,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.3177,                 1.9505,                 1.4634,                0.25795,                0.14088,                0.08268,                0.05107,                 1.4682,                 2.1131,                  1.545,             0.00025207,             0.00025207,             0.00025207
                     75,                 1.3148,                 1.9168,                 1.4477,                0.24822,                0.15497,                 0.0817,                0.04896,                 1.4822,                 2.1288,                 1.5538,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.2964,                 1.9087,                 1.4253,                0.26095,                0.14291,                0.08325,                0.05056,                  1.475,                  2.092,                 1.5461,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.3301,                 1.9685,                 1.4746,                0.25776,                0.11972,                 0.0825,                0.05092,                 1.4679,                 2.1113,                 1.5441,             0.00022507,             0.00022507,             0.00022507
                     78,                 1.2957,                 1.8973,                 1.4431,                0.27991,                0.12882,                0.09257,                 0.0584,                 1.4765,                 2.0805,                 1.5482,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.2779,                 1.9026,                  1.436,                0.25582,                0.13584,                0.08503,                0.05308,                 1.4793,                 2.1074,                  1.557,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.2945,                 1.9088,                 1.4236,                0.28599,                0.15938,                0.08397,                0.05395,                 1.4716,                 2.0924,                 1.5697,             0.00019807,             0.00019807,             0.00019807
                     81,                 1.2831,                 1.8652,                 1.4336,                0.30285,                0.15258,                0.08331,                0.05359,                 1.4765,                 2.0912,                 1.5508,             0.00018907,             0.00018907,             0.00018907
